Id,SalePrice
1461,123280.9393434605
1462,163142.32419238365
1463,183181.93065825108
1464,191774.70608462507
1465,201192.23053644018
1466,170739.05557178552
1467,170498.23656175888
1468,158873.27136581516
1469,202309.7198515783
1470,117606.73198467877
1471,191313.64290275614
1472,97480.0816251757
1473,93504.73873512383
1474,146709.6477599482
1475,108529.6385261217
1476,355743.9695941902
1477,253742.38767342403
1478,288962.28433223267
1479,291887.0787934139
1480,497510.83156547416
1481,330010.4645763887
1482,216702.556084696
1483,183121.84479626958
1484,163633.4678123088
1485,200227.51186717462
1486,199862.74279990196
1487,335084.654447158
1488,230510.72098493364
1489,194369.80203521682
1490,233827.45603925182
1491,199834.53526270148
1492,108124.66467614064
1493,164827.5591732596
1494,307861.7689712197
1495,289196.06803130795
1496,235434.96106791837
1497,177985.40989349963
1498,190755.7902068897
1499,161544.55626749623
1500,155600.796142107
1501,183191.71394343633
1502,145911.51755528527
1503,286393.84774841723
1504,243424.2516450042
1505,224056.1807000495
1506,200534.03452412217
1507,260239.25701013254
1508,212083.52720229098
1509,166251.55382138048
1510,146034.58069213235
1511,165031.09216880184
1512,174810.0440112412
1513,140475.40874789283
1514,158733.3338065971
1515,187819.51521702646
1516,153833.7464711802
1517,167460.27840803834
1518,133935.69911581135
1519,210543.07675235087
1520,129499.83532709618
1521,132421.25005125723
1522,190220.60648230842
1523,113436.98514922932
1524,115517.36469619499
1525,120636.62083132614
1526,112888.74514511133
1527,108318.2846983028
1528,129058.9457506617
1529,163357.7968285548
1530,176927.346156917
1531,112964.56326947772
1532,88255.16035713008
1533,156680.67528672278
1534,122161.60448198856
1535,147260.82306857622
1536,108465.48570691506
1537,68908.20782754911
1538,149987.82714801645
1539,206462.90955132467
1540,101336.41617256848
1541,148792.22207330258
1542,151043.15619755402
1543,187789.42553448974
1544,78312.16171952491
1545,107729.00986252772
1546,137520.49849097602
1547,131520.61197349746
1548,128285.3698309935
1549,113757.65891052112
1550,133510.26231067383
1551,109521.56146680028
1552,149898.59643379424
1553,152231.58483824335
1554,119005.31135460039
1555,169944.3444806927
1556,91030.6635257753
1557,109838.49919057799
1558,102926.7511896409
1559,59411.51517983133
1560,135369.0590485843
1561,125693.0370920443
1562,128282.92298600744
1563,119734.80292561471
1564,148276.03491709763
1565,153409.46555666105
1566,241830.45388085977
1567,80032.10673686134
1568,248326.72442288967
1569,151848.5012818246
